,Test,Time,Mdn DNS (ms),Mdn SSL (ms),Avg Time To First Byte (ms),Mdn Webpage Response (ms),Mdn Render Start (ms),Avg Image Bytes,Avg Script Bytes,Avg Css Bytes,% Availability,# Runs
105,[204709] - trip.com,11/9/2017 18:00,326,,823.42,9726,1446,713937.83,581451.75,10772.42,91.667,12
106,[204709] - trip.com,11/9/2017 20:00,224.5,,311.17,8159.5,1538,698918.58,578989.67,10768.08,100,12
107,[204709] - trip.com,11/9/2017 22:00,278.5,,350.58,9460,1197,732608.25,583204.58,10760.5,100,12
108,[204709] - trip.com,11/10/2017 0:00,316,,654.92,9955,1452.5,818853.5,582190.75,10769.83,91.667,12
109,[204709] - trip.com,11/10/2017 2:00,360.5,,610.92,9584,1415.5,712521.5,579682.83,10761.42,100,12
110,[204709] - trip.com,11/10/2017 4:00,178,,356.08,9228,1299,760835.08,582285.5,10762.42,91.667,12
111,[204709] - trip.com,11/10/2017 6:00,153.5,,328.08,9486.5,1252,804696,579818.33,10762.5,100,12
112,[204709] - trip.com,11/10/2017 8:00,262.5,,409.58,8188.5,1350.5,728197.83,582188.33,10765.33,91.667,12
113,[204709] - trip.com,11/10/2017 10:00,200,,1290.33,9095.5,1241,612702.42,548936.17,10765.42,91.667,12
114,[204709] - trip.com,11/10/2017 12:00,323,,495.92,9092,1699.5,772092.33,578352.42,10756.83,91.667,12
115,[204709] - trip.com,11/10/2017 14:00,254,,392.92,10249,1038,822102.83,584012.33,10762.5,100,12
116,[204709] - trip.com,11/10/2017 16:00,331.5,,525.17,10001,1297.5,797022.42,582439.83,10766.33,91.667,12
117,[204709] - trip.com,11/10/2017 18:00,348.5,,701.92,9175.5,1488.5,732820.92,581406.33,10763.09,100,12
118,[204709] - trip.com,11/10/2017 20:00,203.5,,309,9743.5,1195,817546.75,578626.83,10759.17,100,12
119,[204709] - trip.com,11/10/2017 22:00,257,,507.55,9508,1409,843245.27,581495.82,10759.64,90.909,11
120,[204709] - trip.com,11/11/2017 0:00,314,,409.62,9610,1493,731315.31,580736.77,10765.69,100,13
121,[204709] - trip.com,11/11/2017 2:00,247.5,,337.75,9878,1343.5,816340.42,543074.58,10760.75,91.667,12
122,[204709] - trip.com,11/11/2017 4:00,199,,393.92,8790,1403,789438.58,553793.42,10761.92,100,12
123,[204709] - trip.com,11/11/2017 6:00,352.5,,483.42,8406.5,1247,740974.67,580980.83,10769,91.667,12
124,[204709] - trip.com,11/11/2017 8:00,355.5,,440.92,10547,1295.5,714795.75,552632,10766.67,91.667,12
125,[204709] - trip.com,11/11/2017 10:00,391.5,,707.58,8862,1349,731693.5,578318.58,10758.33,100,12
